snapshot_date,slug,year,oa_status,ca_works
2026-08-03,tu-berlin,2025,hybrid,589
2026-08-03,tu-berlin,2025,gold,493
2026-08-03,tu-berlin,2025,closed,468
2026-08-03,tu-berlin,2025,green,178
2026-08-03,tu-berlin,2025,diamond,88
2026-08-03,tu-berlin,2025,bronze,24
