snapshot_date,slug,year,oa_status,ca_works
2026-08-10,tu-darmstadt,2025,closed,647
2026-08-10,tu-darmstadt,2025,hybrid,511
2026-08-10,tu-darmstadt,2025,gold,338
2026-08-10,tu-darmstadt,2025,green,176
2026-08-10,tu-darmstadt,2025,diamond,98
2026-08-10,tu-darmstadt,2025,bronze,37
