snapshot_date,slug,year,oa_status,ca_works
2026-09-07,leibniz-hannover,2025,hybrid,524
2026-09-07,leibniz-hannover,2025,closed,499
2026-09-07,leibniz-hannover,2025,gold,395
2026-09-07,leibniz-hannover,2025,green,130
2026-09-07,leibniz-hannover,2025,diamond,78
2026-09-07,leibniz-hannover,2025,bronze,34
